/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag,/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1.333521432163324e-05,3.694249944808924,22.66303313476117,1.333521432163324e-05,-0.001877117718153378,0.0003803726060953235
1.412537544622754e-05,4.131966785173653,23.93032364242531,1.412537544622754e-05,-0.002099526254460006,0.0004413346724766119
1.496235656094433e-05,4.619823596499771,25.25905708537412,1.496235656094433e-05,-0.00234741051725789,0.0005128478830309486
1.584893192461113e-05,5.163135277405268,26.65049229247734,1.584893192461113e-05,-0.002623470723976346,0.0005967483190325577
1.67880401812256e-05,5.76767438103895,28.10557370218066,1.67880401812256e-05,-0.002930639536080328,0.0006951787585646445
1.778279410038923e-05,6.439683932633343,29.62485685715365,1.778279410038923e-05,-0.003272088548077383,0.0008106349616863762
1.8836490894898e-05,7.185883291142203,31.20842516128122,1.8836490894898e-05,-0.003651231236875557,0.0009460173874912272
1.99526231496888e-05,8.01346453292836,32.85579635308167,1.99526231496888e-05,-0.004071721088876813,0.001104688450266185
2.113489039836647e-05,8.930076786903449,34.5658192539774,2.113489039836647e-05,-0.004537443597491862,0.00129053527867473
2.23872113856834e-05,9.943795695252792,36.33656204741429,2.23872113856834e-05,-0.005052500693891336,0.001508037716697067
2.371373705661655e-05,11.0630742451337,38.16519157813201,2.371373705661655e-05,-0.005621185701653214,0.001762340898134562
2.51188643150958e-05,12.29667202122195,40.04784807120473,2.51188643150958e-05,-0.006247947314789464,0.002059331469495839
2.66072505979881e-05,13.65355876958802,41.97951641343046,2.66072505979881e-05,-0.006937340509209021,0.002405715892768768
2.818382931264454e-05,15.14278920526754,43.95389972807539,2.818382931264454e-05,-0.007693962827205819,0.002809098822638682
2.98538261891796e-05,16.77334517006691,45.96329827330718,2.98538261891796e-05,-0.008522374054783198,0.003278058695005812
3.16227766016838e-05,18.55394402683157,47.99850430219935,3.16227766016838e-05,-0.00942699872431841,0.00382221731981699
3.349654391578277e-05,20.49281057220494,50.04871644963439,3.349654391578277e-05,-0.0104120100599511,0.00445229906045627
3.548133892335755e-05,22.59741485306971,52.10148812801579,3.548133892335755e-05,-0.01148119657664653,0.005180175178842869
3.758374042884442e-05,24.8741768080338,54.14271514956926,3.758374042884442e-05,-0.01263781180033492,0.00601888769259749
3.981071705534973e-05,27.328145572198,56.15667873379742,3.981071705534973e-05,-0.01388441109192876,0.006982647706481833
4.216965034285823e-05,29.96266065944818,58.12614999955698,4.216965034285823e-05,-0.01522267924151172,0.008086802483610623
4.466835921509631e-05,32.77900884595236,60.0325680901331,4.466835921509631e-05,-0.01665325585822442,0.009347766829019432
4.731512589614805e-05,35.77609245414253,61.85629755012835,4.731512589614805e-05,-0.01817556653510815,0.01078291522546445
5.011872336272723e-05,38.95012929346044,63.57696952535566,5.011872336272723e-05,-0.0197876700842168,0.01241043344988341
5.308844442309884e-05,42.29440420356681,65.17390163698836,5.308844442309884e-05,-0.02148613197993934,0.01424913021094243
5.623413251903491e-05,45.79909707170037,66.62659241604347,5.623413251903491e-05,-0.02326593665117869,0.01631821366091536
5.956621435290106e-05,49.451208160328,67.91527355639856,5.956621435290106e-05,-0.02512044921191959,0.01863704030320794
