/cix_pulse<0> (vgsp_il=0.4) X,/cix_pulse<0> (vgsp_il=0.4) Y,/cix_pulse<0> (vgsp_il=0.4519324) X,/cix_pulse<0> (vgsp_il=0.4519324) Y,/cix_pulse<0> (vgsp_il=0.5106072) X,/cix_pulse<0> (vgsp_il=0.5106072) Y,/cix_pulse<0> (vgsp_il=0.5768998) X,/cix_pulse<0> (vgsp_il=0.5768998) Y,/cix_pulse<0> (vgsp_il=0.6517993) X,/cix_pulse<0> (vgsp_il=0.6517993) Y,/cix_pulse<0> (vgsp_il=0.736423) X,/cix_pulse<0> (vgsp_il=0.736423) Y,/cix_pulse<0> (vgsp_il=0.8320335) X,/cix_pulse<0> (vgsp_il=0.8320335) Y,/cix_pulse<0> (vgsp_il=0.9400572) X,/cix_pulse<0> (vgsp_il=0.9400572) Y,/cix_pulse<0> (vgsp_il=1.062106) X,/cix_pulse<0> (vgsp_il=1.062106) Y,/cix_pulse<0> (vgsp_il=1.2) X,/cix_pulse<0> (vgsp_il=1.2) Y
0.01000000079467122,6.314532180648095e-05,0.01000000079585931,6.318266568176858e-05,0.0100000007975492,6.323508375347306e-05,0.01000000079960151,6.329791239714547e-05,0.01000000052162319,5.270208225963951e-05,0.01000000035159759,4.17955573330757e-05,0.009227811026551208,5.033157299025744e-06,0.008017762526379818,5.033260956645756e-06,0.008004219773438265,5.033273521770651e-06,0.008004216507505366,5.033291898588727e-06
0.01000000126643611,6.86405946937617e-05,0.01000000126791784,6.864551756467107e-05,0.01000000127007181,6.865215136700242e-05,0.01000000127274534,6.865971267436347e-05,0.01000000080092356,6.333805178638893e-05,0.01000000052167382,5.270588313566561e-05,0.01,5.033123103804604e-06,0.008019552867915674,5.033259523526734e-06,0.00800502280052408,5.03329012474267e-06,0.00800502413004687,5.033307268263803e-06
0.01000000182944246,6.459306597805128e-05,0.01000000183104259,6.457425051797344e-05,0.01000000183337887,6.454677624510597e-05,0.0100000018362914,6.451247470453823e-05,0.01000000127449446,6.86643519514313e-05,0.01000000080114369,6.3344785445738e-05,0.01000000002254471,7.189939939390907e-06,0.008021538859094327,5.033258096689848e-06,0.008005865213976587,5.033291713794611e-06,0.008005868875872395,5.033289541481731e-06
0.01000000248218505,5.546256203520739e-05,0.01000000248403087,5.5435187649847e-05,0.01000000248672688,5.539552954029754e-05,0.01000000249008909,5.534642508790704e-05,0.01000000183820244,6.448991673194929e-05,0.01000000127479301,6.866515292761539e-05,0.0100000000387861,9.013251915548473e-06,0.008023764197919067,5.033256632703845e-06,0.008006749603080071,5.033282682117443e-06,0.008006748165727721,5.033283257927613e-06
0.01000000277296706,5.117493335447048e-05,0.01000000277453754,5.115401384455005e-05,0.01000000277682961,5.112386157864609e-05,0.01000000277968554,5.108671098796461e-05,0.01000000249229544,5.531431810827404e-05,0.01000000183852884,6.44860587521097e-05,0.01000000005672997,1.120061500579505e-05,0.008026288043512656,5.033255081275062e-06,0.008007677005514651,5.033278210963446e-06,0.008007672232372772,5.03327992465084e-06
0.01000000311800743,4.710551552686457e-05,0.01000000311904178,4.709484051989979e-05,0.0100000031205532,4.707964503039687e-05,0.01000000312243944,4.706112040380148e-05,0.0100000027815583,5.106249028171785e-05,0.01000000249267158,5.530881157435037e-05,0.01000000007479613,1.348105363779463e-05,0.008029192863490322,5.033253381316147e-06,0.00800865628179096,5.033275286194121e-06,0.008008650106615353,5.033276523826656e-06
0.010000003384291,4.519210822772107e-05,0.01000000338502091,4.518672442586563e-05,0.01000000338608865,4.517927861654282e-05,0.0100000033874231,4.517043602119187e-05,0.01000000312367809,4.704909416344849e-05,0.01000000278187729,5.105831876350218e-05,0.01000000009342643,1.583893308078715e-05,0.008032597755664665,5.033251454531489e-06,0.008009695637890632,5.033272574866412e-06,0.008009688602038618,5.033273462494524e-06
0.0100000035758414,4.472021414682739e-05,0.01000000357641046,4.471753200343294e-05,0.01000000357724335,4.471406814482426e-05,0.0100000035782851,4.471022973511589e-05,0.01000000338830053,4.516476166076831e-05,0.01000000312388916,4.704698303140303e-05,0.01000000011883415,1.898372424176883e-05,0.008036682361249419,5.0332491938139e-06,0.008010802988184606,5.03327012833031e-06,0.008010795470256852,5.033270805884904e-06
0.01000000373734905,4.510961192169621e-05,0.01000000373782072,4.510874834880034e-05,0.01000000373851144,4.510798755570342e-05,0.01000000373937596,4.51075715605262e-05,0.01000000357897056,4.470784929949535e-05,0.0100000033884501,4.516371970905121e-05,0.01000000015080336,2.276336244014929e-05,0.008041732889925613,5.033246442136298e-06,0.008011987456864217,5.033267942858218e-06,0.008011979462805035,5.033268481812774e-06
0.0100000038775583,4.620442338430272e-05,0.01000000387797574,4.62050945543495e-05,0.01000000387858723,4.620663118221582e-05,0.01000000387935288,4.620914223303251e-05,0.01000000373994518,4.510745270150895e-05,0.01000000357908743,4.470735787516998e-05,0.01000000019460368,2.759137674841371e-05,0.008048239081751273,5.033242948635806e-06,0.008013259672666549,5.033265982365339e-06,0.008013251031173459,5.033266411867796e-06
0.01000000400398939,4.795202274977041e-05,0.01000000400437561,4.795426489090753e-05,0.01000000400494146,4.795816065618814e-05,0.01000000400565009,4.796368582387083e-05,0.01000000387985718,4.621096423890138e-05,0.01000000374004225,4.510733589395482e-05,0.01000000026012505,3.407634531384743e-05,0.008057124778191115,5.033238269106172e-06,0.008014632548222616,5.033264204049181e-06,0.008014623051275678,5.033264560921263e-06
0.01000000412272943,5.040492089251214e-05,0.01000000412309669,5.040894289196e-05,0.01000000412363479,5.041551298610942e-05,0.01000000412430877,5.042445723146008e-05,0.01000000400611692,4.796750955246554e-05,0.01000000387994319,4.621116713814098e-05,0.01000000035160317,4.17954313501726e-05,0.008070404040991802,5.033231498350202e-06,0.008016122087894293,5.033262575447285e-06,0.008016111516473357,5.033262878912689e-06
0.01000000423664764,5.365417704962348e-05,0.01000000423700376,5.366030817759761e-05,0.01000000423752557,5.367004452397581e-05,0.01000000423817919,5.368303440929395e-05,0.0100000041247528,5.043055302051391e-05,0.01000000400619655,4.796804180620466e-05,0.01000000052164927,5.270407448217896e-05,0.00809375397719765,5.033220300397e-06,0.008017748367531961,5.033261048132959e-06,0.008017736479879795,5.033261320082445e-06
