/Idpi/M7/S (vgsp_il=0.4) X,/Idpi/M7/S (vgsp_il=0.4) Y,/Idpi/M7/S (vgsp_il=0.4519324) X,/Idpi/M7/S (vgsp_il=0.4519324) Y,/Idpi/M7/S (vgsp_il=0.5106072) X,/Idpi/M7/S (vgsp_il=0.5106072) Y,/Idpi/M7/S (vgsp_il=0.5768998) X,/Idpi/M7/S (vgsp_il=0.5768998) Y,/Idpi/M7/S (vgsp_il=0.6517993) X,/Idpi/M7/S (vgsp_il=0.6517993) Y,/Idpi/M7/S (vgsp_il=0.736423) X,/Idpi/M7/S (vgsp_il=0.736423) Y,/Idpi/M7/S (vgsp_il=0.8320335) X,/Idpi/M7/S (vgsp_il=0.8320335) Y,/Idpi/M7/S (vgsp_il=0.9400572) X,/Idpi/M7/S (vgsp_il=0.9400572) Y,/Idpi/M7/S (vgsp_il=1.062106) X,/Idpi/M7/S (vgsp_il=1.062106) Y,/Idpi/M7/S (vgsp_il=1.2) X,/Idpi/M7/S (vgsp_il=1.2) Y
10.01000302009698,1.450022584373053e-10,10.01000302003511,1.934660749455436e-11,10.0100030195609,2.420285869549798e-10,10.01000301948677,1.023390081197825e-09,10.0100030191744,4.995213651718043e-09,10.01000301924003,1.326124683378233e-08,10.01000301865679,1.469667173086541e-08,10.01000301873992,1.522754931305705e-08,10.01000301828196,1.582725746038463e-08,10.01000301827803,1.630817857307084e-08
10.0100030201657,8.947538994220455e-11,10.01000302016003,1.736010570649829e-11,10.0100030196357,2.229988529441217e-10,10.01000301954297,9.926314964757554e-10,10.01000301920822,4.927489193045355e-09,10.01000301927337,1.317868566673018e-08,10.01000301867508,1.48235331618837e-08,10.01000301875617,1.529146949604614e-08,10.01000301830376,1.578093575192294e-08,10.01000301830692,1.628873523629481e-08
10.01000302024988,3.893126593783234e-11,10.01000302029611,2.209331839876459e-11,10.01000301972888,2.138157007470497e-10,10.0100030196096,9.732736573614953e-10,10.01000301924608,4.868631108961849e-09,10.01000301931063,1.31071844457114e-08,10.01000301868897,1.495491961436446e-08,10.01000301877173,1.52514672519592e-08,10.01000301832844,1.573562250945416e-08,10.0100030183217,1.633908281257711e-08
10.01000302035719,-5.626351485406287e-12,10.01000302043425,3.364201260632514e-11,10.01000301984397,2.142518562989633e-10,10.01000301969076,9.656283265232018e-10,10.01000301928898,4.816480377385566e-09,10.01000301935278,1.30436280191495e-08,10.01000301870336,1.503468674984453e-08,10.01000301878665,1.514998545648771e-08,10.01000301835732,1.571633416216313e-08,10.01000301833724,1.647100424246868e-08
10.01000302047539,-3.54684848543602e-11,10.01000302055208,5.378977802301169e-11,10.01000301996555,2.222092695917979e-10,10.01000301979356,9.688231588894488e-10,10.01000301933825,4.772407627565611e-09,10.01000301940111,1.29890952570847e-08,10.01000301871839,1.502370585511408e-08,10.01000301880239,1.504662607166099e-08,10.01000301837211,1.576665562868749e-08,10.01000301835065,1.659249224690466e-08
10.01000302060216,-5.173541690418541e-11,10.01000302064507,7.945585846813084e-11,10.01000302009742,2.336157837001365e-10,10.01000301991031,9.804443854729014e-10,10.01000301939572,4.739780832051437e-09,10.01000301945734,1.294752675824057e-08,10.01000301873371,1.493640466932006e-08,10.01000301881639,1.503906093788372e-08,10.01000301838767,1.589862525697666e-08,10.01000301836702,1.665669865910299e-08
10.01000302073762,-5.635057303103829e-11,10.01000302072836,1.064243318214522e-10,10.01000302023304,2.47148298220444e-10,10.0100030200351,9.958177825446822e-10,10.01000301946406,4.720836871829632e-09,10.01000301952401,1.292193014727988e-08,10.01000301874916,1.482421126845177e-08,10.01000301882928,1.515321941377755e-08,10.01000301840108,1.601997694652551e-08,10.01000301838263,1.661601040248206e-08
10.010003020877,-4.802907686552452e-11,10.01000302081344,1.349585613993271e-10,10.01000302036433,2.635990729620291e-10,10.0100030201712,1.011534761017516e-09,10.0100030195477,4.71551065992523e-09,10.01000301960523,1.291252521842077e-08,10.01000301876369,1.477728872394417e-08,10.01000301884251,1.540487927602306e-08,10.01000301841743,1.608383064694442e-08,10.01000301839755,1.65140221777268e-08
10.01000302099003,-2.470649578353984e-11,10.01000302091179,1.729257725959182e-10,10.01000302046585,2.83832291384339e-10,10.0100030203093,1.026367269981275e-09,10.01000301965425,4.722442718785938e-09,10.01000301970813,1.291771575460508e-08,10.01000301877677,1.484670740145648e-08,10.01000301885773,1.577719892208903e-08,10.01000301843303,1.604298064321957e-08,10.01000301841331,1.641101858622746e-08
10.01000302108022,6.965965798495391e-12,10.010003021034,2.42718225282793e-10,10.01000302055112,3.040282466420143e-10,10.01000302042733,1.042359881926111e-09,10.01000301977201,4.737769827778985e-09,10.010003019825,1.293368933497518e-08,10.01000301878968,1.505337293297018e-08,10.01000301887373,1.620457920750357e-08,10.01000301844795,1.594096867262026e-08,10.0100030184273,1.64051542452999e-08
10.01000302116321,4.234773964169778e-11,10.01000302117463,3.895363333425652e-10,10.0100030206344,3.227674017817879e-10,10.01000302052044,1.059420789586187e-09,10.01000301989835,4.75585637505153e-09,10.01000301994991,1.29538200984888e-08,10.01000301880385,1.538051920035482e-08,10.01000301888775,1.657283116144754e-08,10.01000301846371,1.583799835629834e-08,10.01000301844019,1.652164773391343e-08
10.01000302124965,8.293658073930503e-11,10.01000302121525,4.227481524036932e-10,10.01000302072587,3.430467362008203e-10,10.01000302060373,1.074192930034395e-09,10.01000302003388,4.772960116170674e-09,10.01000302008599,1.29732080957422e-08,10.01000301882261,1.587164189991728e-08,10.01000301890057,1.686750074826807e-08,10.0100030184777,1.583207929461761e-08,10.01000301845345,1.677601373605292e-08
10.01000302135166,1.415839476014855e-10,10.01000302126683,2.82015425835454e-10,10.01000302083807,3.758065800693953e-10,10.01000302068871,1.086163323257602e-09,10.01000302017305,4.788245367294877e-09,10.01000302022412,1.299015957402656e-08,10.01000301883787,1.627718662231748e-08,10.01000301891318,1.708855201000037e-08,10.01000301849059,1.594841814189717e-08,10.01000301846877,1.715316840098413e-08
