/Idpi/MIx/S (vgsp_il=0.4) X,/Idpi/MIx/S (vgsp_il=0.4) Y,/Idpi/MIx/S (vgsp_il=0.4519324) X,/Idpi/MIx/S (vgsp_il=0.4519324) Y,/Idpi/MIx/S (vgsp_il=0.5106072) X,/Idpi/MIx/S (vgsp_il=0.5106072) Y,/Idpi/MIx/S (vgsp_il=0.5768998) X,/Idpi/MIx/S (vgsp_il=0.5768998) Y,/Idpi/MIx/S (vgsp_il=0.6517993) X,/Idpi/MIx/S (vgsp_il=0.6517993) Y,/Idpi/MIx/S (vgsp_il=0.736423) X,/Idpi/MIx/S (vgsp_il=0.736423) Y,/Idpi/MIx/S (vgsp_il=0.8320335) X,/Idpi/MIx/S (vgsp_il=0.8320335) Y,/Idpi/MIx/S (vgsp_il=0.9400572) X,/Idpi/MIx/S (vgsp_il=0.9400572) Y,/Idpi/MIx/S (vgsp_il=1.062106) X,/Idpi/MIx/S (vgsp_il=1.062106) Y,/Idpi/MIx/S (vgsp_il=1.2) X,/Idpi/MIx/S (vgsp_il=1.2) Y
40.01000065895948,4.46639658240209e-11,40.01000065906862,-5.730561532393692e-12,40.01000065861397,7.066207457871371e-10,40.01000065847139,7.814771666137547e-10,40.01000065744284,-6.598402209263603e-11,40.01000065769016,-5.916639137965419e-11,40.01000065622586,5.216184652879974e-10,40.01000065604293,2.192176759772829e-07,40.01000065810312,1.01344495757351e-06,40.01000065818315,1.08082352901477e-06
40.01000065899179,2.135830610873368e-11,40.01000065912373,-1.097411728839205e-11,40.01000065861859,7.724225596497417e-10,40.01000065847705,7.986578936390356e-10,40.01000065753559,-6.088179354249244e-11,40.01000065777266,-5.497829580139768e-11,40.01000065625803,3.952677231283423e-10,40.01000065605798,2.19790692528756e-07,40.01000065815509,1.013016867487877e-06,40.01000065820826,1.080333524562665e-06
40.01000065902685,2.960581021838655e-12,40.01000065919267,-1.318713320769145e-11,40.01000065862369,7.922584651142279e-10,40.01000065848413,7.599562156465625e-10,40.01000065761789,-5.686680069222857e-11,40.01000065785638,-5.256407636280196e-11,40.01000065629194,2.654197916035328e-10,40.01000065607358,2.204475026940622e-07,40.01000065818088,1.012615738667222e-06,40.01000065822949,1.080107724881483e-06
40.01000065906629,-1.065702355969436e-11,40.01000065928132,-1.330984116489691e-11,40.01000065863075,7.622840639274257e-10,40.01000065849151,6.780459686386404e-10,40.01000065770199,-5.461255742429232e-11,40.01000065795282,-5.098165734133653e-11,40.01000065632037,1.693577772849063e-10,40.01000065608756,2.210293420070098e-07,40.01000065820768,1.012113695142837e-06,40.01000065824613,1.079827345672754e-06
40.0100006591122,-1.983338252498152e-11,40.01000065939668,-1.235186692407962e-11,40.01000065863813,6.864954388504117e-10,40.0100006584994,5.740079579758299e-10,40.01000065779964,-5.310620175810672e-11,40.01000065807361,-4.917720021091947e-11,40.01000065634747,9.347269000188104e-11,40.01000065610044,2.215002720554732e-07,40.01000065823008,1.011851493543347e-06,40.01000065826344,1.079286057902214e-06
40.01000065916747,-2.515509504515013e-11,40.0100006595547,-1.109545027400258e-11,40.01000065864596,5.860955032713652e-10,40.01000065850815,4.634850620110303e-10,40.01000065792183,-5.138380403815843e-11,40.01000065821464,-5.05613221066445e-11,40.01000065637469,3.341266191942676e-11,40.01000065611308,2.218519434585836e-07,40.01000065824725,1.011609429524255e-06,40.01000065828217,1.078516214815559e-06
40.01000065923667,-2.745029961614948e-11,40.01000065977837,-9.773376049969534e-12,40.01000065865461,4.768848161248285e-10,40.01000065851824,3.586652015193696e-10,40.01000065806351,-5.361845685431716e-11,40.01000065825581,-5.838651710260417e-11,40.010000656403,-1.367059183550059e-11,40.01000065612587,2.220735062423073e-07,40.01000065826421,1.011132599736636e-06,40.01000065830319,1.077819537252423e-06
40.01000065932551,-2.766424763263882e-11,40.01000065996563,-8.721122820018206e-12,40.01000065866451,3.717530498792511e-10,40.01000065852983,2.725326606382446e-10,40.01000065810342,-6.290148546334647e-11,40.0100006583087,-8.804544262142454e-11,40.01000065643341,-4.99790344771866e-11,40.01000065613995,2.221660107758682e-07,40.01000065828269,1.010413035336442e-06,40.0100006583283,1.07759651808038e-06
40.01000065944111,-2.681405163786763e-11,40.01000066014021,-7.602812088170095e-12,40.01000065867593,2.830508575166699e-10,40.01000065854314,2.123205756165547e-10,40.01000065815361,-9.48028913102309e-11,40.01000065833488,-1.199705673614431e-10,40.01000065646677,-7.668248612457316e-11,40.01000065615567,2.22115956849915e-07,40.01000065830299,1.009709461359309e-06,40.01000065835371,1.077885258694389e-06
40.01000065959973,-2.568191604048752e-11,40.01000066033744,-6.212252622938189e-12,40.010000658689,2.194943348631181e-10,40.01000065855889,1.7758338392765e-10,40.01000065817862,-1.269703049464975e-10,40.01000065836264,-1.615059617036112e-10,40.01000065650393,-9.461407568045341e-11,40.01000065617389,2.219159861264873e-07,40.01000065832775,1.009399470156706e-06,40.0100006583784,1.07849227436889e-06
