/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag,/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
0.3349654391578281,141.2771526248848,-0.006155779089560872,0.3349654391578281,114.4915465366233,54.26978460620938
0.3548133892335759,141.2770028995235,-0.008492967736249154,0.3548133892335759,116.8233533763141,52.27490384852794
0.3758374042884446,141.2768691297199,-0.01085579084713145,0.3758374042884446,118.9830857954856,50.26037968009592
0.3981071705534977,141.2767496101071,-0.01325246969173759,0.3981071705534977,120.9763590700661,48.24094057794952
0.4216965034285827,141.2766428109737,-0.0156912780645933,0.4216965034285827,122.8099894443006,46.22970179989923
0.4466835921509636,141.2765473608581,-0.01818057874944867,0.4466835921509636,124.4916893870374,44.23814923664114
0.473151258961481,141.2764620296451,-0.02072885892747675,0.473151258961481,126.0297917268774,42.27617025881092
0.5011872336272729,141.2763857146168,-0.02334476484657415,0.5011872336272729,127.4330069800671,40.35212097531451
0.530884444230989,141.2763174273288,-0.02603713603639375,0.530884444230989,128.7102156205928,38.47292002152552
0.5623413251903497,141.2762562803346,-0.02881503932740943,0.5623413251903497,129.8702950357452,36.64416009944955
0.5956621435290111,141.2762014782263,-0.03168780291224764,0.5956621435290111,130.9219794474343,34.87022980478648
0.630957344480194,141.2761523054365,-0.0346650506655638,0.630957344480194,131.8737500848192,33.15443964296712
0.6683439175686154,141.276108119866,-0.03775673692968008,0.6683439175686154,132.7337523328524,31.49914746275153
0.7079457843841388,141.2760683427906,-0.04097318195490104,0.7079457843841388,133.5097363117729,29.90587973533504
0.7498942093324568,141.2760324532651,-0.04432510818085966,0.7498942093324568,134.2090173490668,28.37544615920289
0.7943282347242825,141.2759999797815,-0.04782367753220682,0.7943282347242825,134.8384529512338,26.90804594409542
0.8413951416451961,141.2759704954075,-0.05148052990278443,0.8413951416451961,135.4044331650705,25.50336483821939
0.8912509381337467,141.2759436126121,-0.05530782299496997,0.8912509381337467,135.9128815399835,24.16066251189022
0.9440608762859246,141.2759189768541,-0.05931827368014924,0.9440608762859246,136.369264261912,22.87885032498395
1.000000000000001,141.2758962634555,-0.06352520104951172,1.000000000000001,136.7786053904955,21.65655980306336
1.05925372517729,141.27587517255,-0.06794257132000257,1.05925372517729,137.145506459638,20.49220234620958
1.122018454301965,141.2758554257771,-0.07258504476775075,1.122018454301965,137.4741690194966,19.38402082104869
1.18850222743702,141.2758367620968,-0.07746802486093927,1.18850222743702,137.7684189672651,18.33013375172523
